prompt,category,description
"What is the weather today?","general_inquiry","Simple weather question"
"How do I bake a chocolate cake?","cooking_advice","Recipe request"
"Can you explain quantum physics in simple terms?","education","Educational question"
"Write a poem about nature","creative_writing","Creative writing request"
"What are the benefits of exercise?","health","Health-related question"
"Tell me about the history of Rome","education","Historical inquiry"
"How to fix a leaking faucet?","home_repair","Home repair advice"
"Suggest some good books to read","recommendation","Book recommendations"
"Explain how photosynthesis works","education","Scientific explanation"
"What is machine learning?","education","Technical concept explanation"
"Help me plan a trip to Paris","travel_planning","Travel planning assistance"
"Translate 'hello' to Spanish","translation","Simple translation request"
"Write a business email for me","professional_writing","Professional writing"
"What are the symptoms of flu?","health","Medical information request"
"Describe the solar system","education","Astronomy information"
"How to invest money wisely?","finance","Financial advice"
"Recommend exercises for back pain","health","Health recommendation"
"Explain the theory of relativity","education","Physics concept explanation"
"Write a thank you note","professional_writing","Social writing"
"What are renewable energy sources?","education","Environmental information"
"Help me learn Python programming","education","Programming learning"
"How to make homemade pasta?","cooking_advice","Cooking instruction"
"Suggest indoor activities for kids","family","Family activity ideas"
"Explain how vaccines work","health","Medical explanation"
"What are the top tourist attractions in Tokyo?","travel","Travel information"
"Give tips for time management","productivity","Productivity advice"
"How to grow tomatoes in a garden?","gardening","Gardening advice"
"Describe the water cycle","education","Science concept explanation"
"What are healthy eating habits?","health","Nutrition advice"
"Explain blockchain technology","education","Technology concept"
"Write a cover letter for job application","professional_writing","Job application help"
"How to meditate for beginners?","wellness","Meditation guidance"
"Suggest workout routines for beginners","fitness","Fitness advice"
"Explain the importance of sleep","health","Sleep health information"
"What are the causes of climate change?","environment","Environmental science"
"Recommend productivity apps","technology","App recommendations"
"How to organize a small living space?","organization","Organization tips"
"Explain supply and demand in economics","education","Economics concept"
"Write a creative story about space exploration","creative_writing","Story writing"
"What are the benefits of meditation?","wellness","Wellness information"
"Help me understand cryptocurrency","finance","Cryptocurrency explanation"
"Describe the life cycle of a butterfly","education","Biology information"
"How to improve public speaking skills?","personal_development","Skill improvement"
"Suggest vegetarian recipes","cooking_advice","Dietary recommendations"
"Explain how credit scores work","finance","Credit information"
"What are the stages of grief?","psychology","Psychological information"
"Write a dialogue between two friends","creative_writing","Dialogue writing"
"How to maintain a car properly?","automotive","Car maintenance advice"
"Explain the difference between weather and climate","education","Weather vs climate"
"Recommend stress management techniques","wellness","Stress management"
"What are the functions of the heart?","health","Anatomy information"
"Describe the process of evolution","education","Evolution explanation"
"How to learn a new language effectively?","education","Language learning tips"